"date_fig","theme_intersectional","engagement"
2020-12-01,"race, partisanship",2896
2020-12-01,"race, violence, partisanship",105
2020-12-01,"violence, partisanship",7924
2021-01-01,"gender",51
2021-01-01,"gender, partisanship",68
2021-01-01,"gender, race, partisanship",210
2021-01-01,"gender, violence, partisanship",135
2021-01-01,"partisanship",2579
2021-01-01,"race, partisanship",296
2021-01-01,"violence",61
2021-01-01,"violence, partisanship",3848
